// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MISSION;32;240;208127;TRANSPORT#551#2012#sector_0_station_0.txt#sector_14_station_0.txt#null#null#null#null;Move light cargo from Biomate University in Void Starcross and dock with 551 Large Heatsink(s) at Imperium Republica  in Gate of Alpharis;17;Feza Zilsuo was unable to complete a large shipment from Biomate University to Imperium Republica . A light shipment containing 551 Large Heatsink(s) is located at the storage bay at Biomate University in Void Starcross. Retrieve the Large Heatsink(s) and transport them to Imperium Republica  in Gate of Alpharis.;21658
MISSION;120;120;973965;CHAT_PILOT#sector_77_station_0.txt#sector_56.txt#Officer Serla Mesedue#npc_ship_data_(transport_cruiser_1)#22#missions_debt_collection.txt#0#null;Collect a small debt from Officer Serla Mesedue in Hunu and return to Lacuna Bandits in Ballast Crow;15;Sedsed Fiecoxe has requested that debt be collected from Officer Serla Mesedue. After 3 payments to the Law faction for transport fines, Officer Serla Mesedue has refused to make any further payments. Last known sighting of Officer Serla Mesedue was in the vicinity of the Hunu system. Have a chat with them, collect the debt, and return to the Lacuna Bandits in the Ballast Crow system to deliver the payment.;117274
MISSION;52;120;190432;SCAN_STRUCTURE#sector_58_station_0.txt#sector_56.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Track and scan the target Defensive Gun Platform structure in Hunu and return to CoraVault in Lins;14;The Extractors faction has commissioned scientific survey of a strange vibration taking place at Defensive Gun Platform in the Hunu sector. Head over to Hunu and scan the Defensive Gun Platform structure. Once complete, return to the CoraVault station located in the Lins with the scan data.;42846
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.8518293;ship_data_(excavation_utility_2).txt
SHIP;1;1.0;ship_data_(recon_shuttle_1).txt
SHIP;1;1.0;ship_data_(recon_escort_1).txt
SHIP;1;1.0;ship_data_(recon_escort_2).txt
SHIP;4;1.0;ship_data_(recon_utility_1).txt
SHIP;4;1.0;ship_data_(recon_utility_2).txt
SHIP;4;1.0;ship_data_(recon_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Introduction;Jessa Din;1;0.0;26;station.png;female_2.png;accessory_22.png;tutorial_intro.txt;2
OFFICE;(Tutorial Office) Basic Combat;Fredric Din;1;0.0;43;station.png;male_1.png;accessory_18.png;tutorial_combat_basics.txt;10
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;1453;1;0
STORAGE;1201;2;0
STORAGE;1008;2;0
STORAGE;4000;1;0


