// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Training Post
STATION;owner;Bidres Oisedar
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;8
STATION;icon;asp.png
STATION;filename;sector_50_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-4-8-0-3-1-4-5-2-5-0
STATION;interior_seed;5-7-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
ITEM;2098;1500;1.05
ITEM;2333;38;1.14
ITEM;1722;26;1.01
ITEM;2311;1;1.05
ITEM;218;82;1.04
ITEM;215;50;0.86
ITEM;1171;8;1.01
ITEM;2192;1;1.09
ITEM;2361;2;0.97
ITEM;2030;66;0.97
ITEM;2113;1810;0.99
ITEM;2019;60;1.14
ITEM;2127;2;0.96
ITEM;53;4929;0.82
ITEM;2354;2;0.87
ITEM;1221;2;1.00
ITEM;2017;59;1.13
ITEM;2394;1;0.87
ITEM;1065;8;0.96
ITEM;2147;1;0.90
ITEM;1584;5;0.91
ITEM;1644;9;0.99
ITEM;2394;1;0.98
ITEM;1711;4;0.99
ITEM;343;2430;0.83
ITEM;1212;6;0.90
ITEM;2002;56;0.87
ITEM;2310;1;1.08
ITEM;1029;2;1.03
ITEM;1056;9;1.09
ITEM;1062;2;0.99
ITEM;2092;4553;1.00
ITEM;2259;1;1.05
ITEM;2395;1;0.98
ITEM;1203;10;0.96
ITEM;1104;6;0.98
ITEM;215;65;1.10
ITEM;2254;1;0.95
ITEM;343;2650;1.00
ITEM;2029;105;1.14
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;60;0.86
SKILL;230;0.85
SKILL;41;1.15
SKILL;11;0.62
SKILL;223;1.75
SKILL;25;1.74
SKILL;2;1.32
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;51;120;715659;SCAN_STRUCTURE#sector_56_station_0.txt#sector_37.txt#Expanded Mining Silo#structure_silo_2.txt#1#null#null#null;Find the target Expanded Mining Silo structure in Calisus Sonaris, scan, and return to Transporteers in Hunu;11;Whanalia Komzafe has requested that someone verify the location of Expanded Mining Silo in the Calisus Sonaris sector. After a recent mix-up at the zoning office, the Orthodox reps are concerned that construction guidelines were not followed properly. Return to the Transporteers station located in the Hunu with the scan data.;38023
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_escort_1).txt
SHIP;2;1.06;ship_data_(battle_utility_1).txt
SHIP;3;0.93;ship_data_(support_cruiser_1).txt
SHIP;4;0.91;ship_data_(excavation_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

